origin_iid,itemId,title,genre
1193,0,One Flew Over the Cuckoo's Nest (1975),Drama
661,1,James and the Giant Peach (1996),Animation|Children's|Musical
914,2,My Fair Lady (1964),Musical|Romance
3408,3,Erin Brockovich (2000),Drama
2355,4,"Bug's Life, A (1998)",Animation|Children's|Comedy
1197,5,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1287,6,Ben-Hur (1959),Action|Adventure|Drama
2804,7,"Christmas Story, A (1983)",Comedy|Drama
594,8,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
919,9,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
595,10,Beauty and the Beast (1991),Animation|Children's|Musical
938,11,Gigi (1958),Musical
2398,12,Miracle on 34th Street (1947),Drama
2918,13,Ferris Bueller's Day Off (1986),Comedy
1035,14,"Sound of Music, The (1965)",Musical
2791,15,Airplane! (1980),Comedy
2687,16,Tarzan (1999),Animation|Children's
2018,17,Bambi (1942),Animation|Children's
3105,18,Awakenings (1990),Drama
2797,19,Big (1988),Comedy|Fantasy
2321,20,Pleasantville (1998),Comedy
720,21,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
1270,22,Back to the Future (1985),Comedy|Sci-Fi
527,23,Schindler's List (1993),Drama|War
2340,24,Meet Joe Black (1998),Romance
48,25,Pocahontas (1995),Animation|Children's|Musical|Romance
1097,26,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
1721,27,Titanic (1997),Drama|Romance
1545,28,Ponette (1996),Drama
745,29,"Close Shave, A (1995)",Animation|Comedy|Thriller
2294,30,Antz (1998),Animation|Children's
3186,31,"Girl, Interrupted (1999)",Drama
1566,32,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical
588,33,Aladdin (1992),Animation|Children's|Comedy|Musical
1907,34,Mulan (1998),Animation|Children's
783,35,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
1836,36,"Last Days of Disco, The (1998)",Drama
1022,37,Cinderella (1950),Animation|Children's|Musical
2762,38,"Sixth Sense, The (1999)",Thriller
150,39,Apollo 13 (1995),Drama
1,40,Toy Story (1995),Animation|Children's|Comedy
1961,41,Rain Man (1988),Drama
1962,42,Driving Miss Daisy (1989),Drama
2692,43,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
260,44,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1028,45,Mary Poppins (1964),Children's|Comedy|Musical
1029,46,Dumbo (1941),Animation|Children's|Musical
1207,47,To Kill a Mockingbird (1962),Drama
2028,48,Saving Private Ryan (1998),Action|Drama|War
531,49,"Secret Garden, The (1993)",Children's|Drama
3114,50,Toy Story 2 (1999),Animation|Children's|Comedy
608,51,Fargo (1996),Crime|Drama|Thriller
1246,52,Dead Poets Society (1989),Drama
1357,53,Shine (1996),Drama|Romance
